⺁	〔※󰃼※󰄋※󰄋※※☯rtt※〕
凡	〔※󰄨※󰄼※󰀦※※☯wyi※〕
凢	〔※󰄋※󰄨※󰁫※※☯twv※〕
凣	〔※󰂺※󰄨※󰁫※※☯hwv※〕
凤	〔※󰁰※󰂘※󰀦※※☯wci※〕
凥	〔※󰃡※󰄨※󰁫※※☯nwv※〕
処	〔※󰄐※󰄨※󰁫※※☯twv※〕
凧	〔※󰁰※󰃜※󰂺※󰀵☯wmhk※〕
凨	〔※󰁰※󰂭※󰂙※󰀦☯wfci※〕
凩	〔※󰁰※󰄅※󰀦※※☯wsi※〕
凪	〔※󰁰※󰂾※󰀌※※☯whd※〕
凫	〔※󰁠※󰄨※󰀅※※☯qwb※〕
凬	〔※󰁰※󰂶※󰃊※󰀌☯wgjd※〕
凭	〔※󰄥※󰄋※󰂯※󰄨☯wtfw※〕
凮	〔※󰁰※󰂢※󰃊※󰀌☯wdjd※〕
凯	〔※󰃘※󰁁※󰄨※󰁀☯mnwn※〕
凰	〔※󰁰※󰃽※󰂷※󰀌☯wrgd※〕
凱	〔※󰃘※󰂶※󰃏※󰄨☯mgkw※〕
凲	〔※󰁰※󰄕※󰁬※󰄦☯wuvw※〕
凳	〔※󰄧※󰂶※󰃏※󰄨☯wgkw※〕
凴	〔※󰄑※󰀋※󰃨※󰄨☯ucow※〕
凵	〔※󰂔※󰄃※󰂺※※☯bnh※〕
凶	〔※󰄄※󰂔※󰀵※※☯rbk※〕
凷	〔※󰂮※󰂔※󰀵※※☯fbk※〕
凸	〔※󰂺※󰂶※󰂺※󰂶☯hghg※〕
凹	〔※󰂺※󰁎※󰂺※󰂶☯hnhg※〕
出	〔※󰂔※󰃘※󰀵※※☯bmk※〕
击	〔※󰀟※󰂔※󰀵※※☯gbk※〕
凼	〔※󰃂※󰂔※󰀵※※☯ibk※〕
函	〔※󰂒※󰀪※󰂔※󰀵☯bibk※〕
凾	〔※󰂒※󰃏※󰂘※󰂔☯bkcb※〕
凿	〔※󰃬※󰄕※󰂱※󰂔☯oufb※〕
刀	〔※󰄠※󰂁※󰄋※※☯vnt※〕
刁	〔※󰂁※󰀞※󰀌※※☯ngd※〕
刂	〔※󰃉※󰂺※󰂻※※☯jhh※〕
刃	〔※󰄠※󰄼※󰀦※※☯vyi※〕
刄	〔※󰄠※󰂃※󰀦※※☯vyi※〕
刅	〔※󰄠※󰄦※󰀦※※☯vwi※〕
分	〔※󰄦※󰄠※󰁣※※☯wvr※〕
切	〔※󰀃※󰄠※󰁥※※☯avt※〕
刈	〔※󰄄※󰃉※󰀢※※☯rjh※〕
刉	〔※󰁿※󰃝※󰃉※󰀢☯tnjh※〕
刊	〔※󰂰※󰃉※󰀢※※☯fjh※〕
刋	〔※󰄋※󰁼※󰃉※󰀢☯tdjh※〕
刌	〔※󰂳※󰃉※󰀢※※☯fjh※〕
刍	〔※󰃸※󰄢※󰀘※※☯qvf※〕
刎	〔※󰃷※󰁤※󰃉※󰀢☯qrjh※〕
刏	〔※󰄂※󰃉※󰀢※※☯rjh※〕
刐	〔※󰀼※󰄶※󰃉※󰀢☯myjh※〕
刑	〔※󰂶※󰂉※󰃉※󰀢☯gajh※〕
划	〔※󰂇※󰃉※󰀢※※☯ajh※〕
刓	〔※󰂭※󰃺※󰃉※󰀢☯fqjh※〕
刔	〔※󰁄※󰄤※󰃉※󰀢☯nwjh※〕
刕	〔※󰄠※󰄠※󰄠※󰁣☯vvvr※〕
刖	〔※󰂧※󰃉※󰀢※※☯ejh※〕
列	〔※󰂶※󰃹※󰃉※󰀢☯gqjh※〕
刘	〔※󰄷※󰃉※󰀢※※☯yjh※〕
则	〔※󰃚※󰃉※󰀢※※☯mjh※〕
刚	〔※󰃜※󰄄※󰃉※󰀢☯mrjh※〕
创	〔※󰄤※󰂑※󰃉※󰀢☯wbjh※〕
刜	〔※󰄬※󰀯※󰃉※󰀢☯xjjh※〕
初	〔※󰃳※󰁧※󰄠※󰁥☯puvt※〕
刞	〔※󰀐※󰀞※󰃉※󰀢☯egjh※〕
刟	〔※󰄠※󰃏※󰃉※󰀢☯vkjh※〕
删	〔※󰀼※󰀼※󰂶※󰃉☯mmgj※〕
刡	〔※󰁂※󰀁※󰃉※󰀢☯najh※〕
刢	〔※󰄤※󰄼※󰁻※󰃉☯wycj※〕
刣	〔※󰂙※󰃏※󰃉※󰀢☯ckjh※〕
判	〔※󰄒※󰀠※󰃉※󰀢☯ugjh※〕
別	〔※󰃏※󰁡※󰃉※󰀢☯kqjh※〕
刦	〔※󰂮※󰂙※󰃉※󰀢☯fcjh※〕
刧	〔※󰂮※󰂙※󰄠※󰁥☯fcvt※〕
刨	〔※󰃷※󰃠※󰃉※󰀢☯qnjh※〕
利	〔※󰄌※󰃉※󰀢※※☯tjh※〕
刪	〔※󰃜※󰄖※󰃉※󰀢☯majh※〕
别	〔※󰃏※󰂫※󰃉※󰀢☯kejh※〕
刬	〔※󰂶※󰂇※󰃉※󰀢☯gajh※〕
刭	〔※󰀉※󰂆※󰃉※󰀢☯cajh※〕
刮	〔※󰄋※󰂟※󰃉※󰀢☯tdjh※〕
刯	〔※󰂶※󰃋※󰀞※󰃉☯gjgj※〕
到	〔※󰂶※󰂙※󰂮※󰃉☯gcfj※〕
刱	〔※󰂭※󰀯※󰄠※󰄦☯fjvw※〕
刲	〔※󰂮※󰂮※󰃉※󰀢☯ffjh※〕
刳	〔※󰂝※󰂭※󰁔※󰃉☯dfnj※〕
刴	〔※󰂖※󰄅※󰃉※󰀢☯bsjh※〕
刵	〔※󰂐※󰃉※󰀢※※☯bjh※〕
制	〔※󰁿※󰂶※󰃜※󰃉☯tgmj※〕
刷	〔※󰃡※󰃜※󰂺※󰃉☯nmhj※〕
券	〔※󰄒※󰂹※󰄠※󰁣☯ugvr※〕
刹	〔※󰄄※󰄉※󰃉※󰀢☯rsjh※〕
刺	〔※󰄅※󰃜※󰃉※󰀢☯smjh※〕
刻	〔※󰄶※󰂂※󰄋※󰃉☯yntj※〕
刼	〔※󰂮※󰂙※󰄠※󰄼☯fcvy※〕
刽	〔※󰄤※󰂭※󰂙※󰃉☯wfcj※〕
刾	〔※󰂶※󰄒※󰂝※󰃉☯gudj※〕
刿	〔※󰃘※󰃹※󰃉※󰀢☯mqjh※〕
剀	〔※󰃘※󰁁※󰃉※󰀢☯mnjh※〕
剁	〔※󰄨※󰄅※󰃉※󰀢☯wsjh※〕
剂	〔※󰄷※󰀯※󰃉※󰀢☯yjjh※〕
剃	〔※󰄒※󰄬※󰂺※󰃉☯uxhj※〕
剄	〔※󰂶※󰄞※󰂆※󰃉☯gvaj※〕
剅	〔※󰂶※󰃏※󰄕※󰃉☯gkuj※〕
剆	〔※󰄼※󰁮※󰃉※󰀢☯yvjh※〕
則	〔※󰃛※󰃉※󰀢※※☯mjh※〕
剈	〔※󰃏※󰂧※󰃉※󰀢☯kejh※〕
剉	〔※󰄤※󰄤※󰂮※󰃉☯wwfj※〕
削	〔※󰃆※󰂧※󰃉※󰀢☯iejh※〕
剋	〔※󰂟※󰃺※󰃉※󰀵☯dqjk※〕
剌	〔※󰄅※󰃏※󰃉※󰀢☯skjh※〕
前	〔※󰄕※󰂧※󰃉※󰀬☯uejj※〕
剎	〔※󰄄※󰄅※󰄼※󰃉☯rsyj※〕
剏	〔※󰄕※󰂉※󰄠※󰄼☯uavy※〕
剐	〔※󰃏※󰃜※󰄤※󰃉☯kmwj※〕
剑	〔※󰄤※󰂶※󰀧※󰃉☯wgij※〕
剒	〔※󰁺※󰃊※󰃉※󰀢☯ajjh※〕
剓	〔※󰄌※󰃷※󰄋※󰄠☯tqtv※〕
剔	〔※󰃋※󰃷※󰁤※󰃉☯jqrj※〕
剕	〔※󰂺※󰂜※󰂺※󰃉☯hdhj※〕
剖	〔※󰄓※󰃏※󰃉※󰀢☯ukjh※〕
剗	〔※󰂇※󰂇※󰃉※󰀢☯aajh※〕
剘	〔※󰀎※󰄦※󰃉※󰀢☯dwjh※〕
剙	〔※󰄕※󰂉※󰄠※󰄦☯uavw※〕
剚	〔※󰂶※󰃏※󰁬※󰃉☯gkvj※〕
剛	〔※󰃜※󰄕※󰃘※󰃉☯mumj※〕
剜	〔※󰃰※󰃹※󰀇※󰃉☯pqbj※〕
剝	〔※󰄰※󰃃※󰃉※󰀢☯xijh※〕
剞	〔※󰂝※󰄆※󰃏※󰃉☯dskj※〕
剟	〔※󰂘※󰂘※󰂘※󰃉☯cccj※〕
剠	〔※󰁸※󰃅※󰃉※󰀢☯yijh※〕
剡	〔※󰃩※󰃩※󰃉※󰀢☯oojh※〕
剢	〔※󰂶※󰀓※󰄼※󰃉☯geyj※〕
剣	〔※󰄤※󰂶※󰃏※󰃉☯wgkj※〕
剤	〔※󰄷※󰀳※󰃉※󰀢☯yjjh※〕
剥	〔※󰁭※󰃃※󰃉※󰀢☯vijh※〕
剦	〔※󰂝※󰃋※󰄻※󰃉☯djnj※〕
剧	〔※󰃡※󰂟※󰃉※󰀢☯ndjh※〕
剨	〔※󰂜※󰂺※󰂠※󰃉☯dhdj※〕
剩	〔※󰄌※󰁩※󰄮※󰃉☯tuxj※〕
剪	〔※󰄕※󰂧※󰃉※󰄠☯uejv※〕
剫	〔※󰃫※󰂊※󰂘※󰃉☯oacj※〕
剬	〔※󰃘※󰂢※󰃜※󰃉☯mdmj※〕
剭	〔※󰃡※󰂶※󰂙※󰃉☯ngcj※〕
剮	〔※󰀿※󰁈※󰃜※󰃉☯mnmj※〕
副	〔※󰂶※󰃏※󰃐※󰃉☯gklj※〕
剰	〔※󰄌※󰁺※󰃉※󰀢☯tajh※〕
剱	〔※󰄤※󰂶※󰃏※󰄼☯wgky※〕
割	〔※󰃰※󰂜※󰂺※󰃉☯pdhj※〕
剳	〔※󰄖※󰄤※󰂶※󰃉☯awgj※〕
剴	〔※󰃘※󰂶※󰃏※󰃉☯mgkj※〕
創	〔※󰄤※󰄼※󰄢※󰃉☯wyvj※〕
剶	〔※󰄰※󰀓※󰃉※󰀢☯xejh※〕
剷	〔※󰄓※󰄋※󰄋※󰃉☯uttj※〕
剸	〔※󰂶※󰃋※󰂺※󰃉☯gjhj※〕
剹	〔※󰃥※󰄤※󰂥※󰃉☯nwej※〕
剺	〔※󰂵※󰄏※󰂡※󰄠☯ftdv※〕
剻	〔※󰃘※󰂧※󰂧※󰃉☯meej※〕
剼	〔※󰂙※󰂙※󰂙※󰃉☯cccj※〕
剽	〔※󰄈※󰂭※󰃅※󰃉☯sfij※〕
剾	〔※󰂋※󰃏※󰃏※󰃉☯akkj※〕
剿	〔※󰄞※󰃋※󰄅※󰃉☯vjsj※〕
劀	〔※󰁻※󰃦※󰂻※󰃉☯cnhj※〕
劁	〔※󰄥※󰁷※󰃨※󰃉☯wyoj※〕
劂	〔※󰂡※󰄕※󰂔※󰃉☯dubj※〕
劃	〔※󰁬※󰂮※󰃐※󰃉☯vflj※〕
劄	〔※󰄍※󰄤※󰂶※󰃉☯twgj※〕
劅	〔※󰃔※󰃷※󰃍※󰃉☯lqjj※〕
劆	〔※󰃫※󰄕※󰁬※󰀭☯ouvj※〕
劇	〔※󰃀※󰂶※󰀓※󰃉☯hgej※〕
劈	〔※󰃡※󰃏※󰄔※󰄠☯nkuv※〕
劉	〔※󰁚※󰄼※󰄠※󰃉☯qyvj※〕
劊	〔※󰄤※󰂶※󰀺※󰃉☯wglj※〕
劋	〔※󰃏※󰃏※󰃏※󰃉☯kkkj※〕
劌	〔※󰂾※󰂤※󰂶※󰃉☯hdgj※〕
劍	〔※󰄤※󰂶※󰃏※󰃉☯wgkj※〕
劎	〔※󰄤※󰂶※󰃏※󰄠☯wgkv※〕
劏	〔※󰃆※󰃱※󰃏※󰃉☯ipkj※〕
劐	〔※󰄖※󰄥※󰁷※󰃉☯awyj※〕
劑	〔※󰀴※󰀳※󰃉※󰀢☯yjjh※〕
劒	〔※󰄤※󰂶※󰃏※󰄼☯wgky※〕
劓	〔※󰄋※󰂼※󰃐※󰃉☯thlj※〕
劔	〔※󰄤※󰂶※󰃏※󰂃☯wgky※〕
劕	〔※󰄀※󰄀※󰃛※󰃉☯rrmj※〕
劖	〔※󰃸※󰃏※󰁴※󰃉☯qkxj※〕
劗	〔※󰄋※󰂮※󰁜※󰃉☯tfqj※〕
劘	〔※󰃫※󰄅※󰄅※󰃉☯ossj※〕
劙	〔※󰄰※󰀓※󰃍※󰃉☯xejj※〕
劚	〔※󰃡※󰃃※󰃔※󰃉☯nilj※〕
力	〔※󰂫※󰂁※󰄋※※☯ent※〕
劜	〔※󰂫※󰄻※󰁀※※☯enn※〕
劝	〔※󰂘※󰂫※󰁥※※☯cet※〕
办	〔※󰂫※󰄦※󰀦※※☯ewi※〕
功	〔※󰂆※󰂫※󰁥※※☯aet※〕
加	〔※󰂫※󰃏※󰀝※※☯ekg※〕
务	〔※󰄐※󰂫※󰁣※※☯ter※〕
劢	〔※󰂶※󰁡※󰂫※󰁥☯gqet※〕
劣	〔※󰃅※󰄋※󰂫※󰁣☯iter※〕
劤	〔※󰄀※󰂫※󰁥※※☯ret※〕
劥	〔※󰄶※󰄨※󰂫※󰁥☯ywet※〕
劦	〔※󰂫※󰂫※󰂫※󰁣☯eeer※〕
劧	〔※󰃾※󰂫※󰁥※※☯ret※〕
动	〔※󰂭※󰂙※󰂫※󰁥☯fcet※〕
助	〔※󰀐※󰀞※󰂫※󰁥☯eget※〕
努	〔※󰄟※󰂘※󰂫※󰁣☯vcer※〕
劫	〔※󰂮※󰂙※󰂫※󰁥☯fcet※〕
劬	〔※󰃷※󰃏※󰂫※󰁥☯qket※〕
劭	〔※󰄠※󰃏※󰂫※󰁥☯vket※〕
劮	〔※󰄋※󰂹※󰂫※󰁥☯tget※〕
劯	〔※󰂠※󰂫※󰁥※※☯det※〕
劰	〔※󰃽※󰂫※󰁥※※☯ret※〕
励	〔※󰂡※󰂶※󰁡※󰂫☯dgqe※〕
劲	〔※󰀉※󰂆※󰂫※󰁥☯caet※〕
劳	〔※󰄖※󰃱※󰂫※󰁣☯aper※〕
労	〔※󰀧※󰃱※󰂫※󰁣☯iper※〕
劵	〔※󰄒※󰂹※󰂫※󰁣☯uger※〕
劶	〔※󰃼※󰂶※󰃏※󰂫☯rgke※〕
劷	〔※󰄝※󰂫※󰁥※※☯uet※〕
劸	〔※󰂮※󰂮※󰂫※󰁥☯ffet※〕
効	〔※󰄘※󰄄※󰂫※󰁥☯uret※〕
劺	〔※󰂙※󰄋※󰀟※󰂫☯ctge※〕
劻	〔※󰂋※󰂷※󰂫※󰁥☯aget※〕
劼	〔※󰂯※󰃏※󰂫※󰁥☯fket※〕
劽	〔※󰂶※󰃹※󰃉※󰂫☯gqje※〕
劾	〔※󰄶※󰂂※󰄋※󰂫☯ynte※〕
势	〔※󰃿※󰄡※󰄼※󰂫☯rvye※〕
勀	〔※󰂟※󰃺※󰂫※󰁥☯dqet※〕
勁	〔※󰂶※󰄞※󰂆※󰂫☯gvae※〕
勂	〔※󰄋※󰂮※󰃏※󰂫☯tfke※〕
勃	〔※󰂱※󰃱※󰂎※󰂫☯fpbe※〕
勄	〔※󰁿※󰄭※󰂫※󰁥☯txet※〕
勅	〔※󰄅※󰃏※󰂫※󰁥☯sket※〕
勆	〔※󰄼※󰁮※󰂫※󰁥☯yvet※〕
勇	〔※󰁻※󰀒※󰂫※󰁣☯ceer※〕
勈	〔※󰁻※󰀒※󰂫※󰁥☯ceet※〕
勉	〔※󰃸※󰃏※󰁜※󰂫☯qkqe※〕
勊	〔※󰂟※󰃺※󰂫※󰀏☯dqee※〕
勋	〔※󰃏※󰃚※󰂫※󰁥☯kmet※〕
勌	〔※󰄒※󰂹※󰂑※󰂫☯ugbe※〕
勍	〔※󰁸※󰃅※󰂫※󰁥☯yiet※〕
勎	〔※󰂮※󰄦※󰂮※󰂫☯fwfe※〕
勏	〔※󰄓※󰃏※󰂫※󰁥☯uket※〕
勐	〔※󰂍※󰃕※󰂫※󰁥☯blet※〕
勑	〔※󰄅※󰄤※󰄤※󰂫☯swwe※〕
勒	〔※󰂊※󰀜※󰂫※󰁥☯afet※〕
勓	〔※󰁴※󰄮※󰃽※󰂫☯xxre※〕
勔	〔※󰂢※󰃒※󰀭※󰂫☯dlje※〕
動	〔※󰄋※󰂶※󰃋※󰂫☯tgje※〕
勖	〔※󰀰※󰂼※󰂫※󰁥☯jhet※〕
勗	〔※󰃋※󰀐※󰀞※󰂫☯jege※〕
勘	〔※󰀎※󰄦※󰄃※󰂫☯dwne※〕
務	〔※󰁻※󰃦※󰂻※󰂫☯cnhe※〕
勚	〔※󰂊※󰄃※󰃚※󰂫☯anme※〕
勛	〔※󰃏※󰃛※󰂫※󰁥☯kmet※〕
勜	〔※󰄦※󰂙※󰃥※󰂫☯wcne※〕
勝	〔※󰂧※󰄒※󰂹※󰂫☯euge※〕
勞	〔※󰃩※󰃩※󰃱※󰂫☯oope※〕
募	〔※󰄖※󰃋※󰂝※󰂫☯ajde※〕
勠	〔※󰃥※󰄤※󰂥※󰂫☯nwee※〕
勡	〔※󰄈※󰂭※󰃅※󰂫☯sfie※〕
勢	〔※󰂮※󰄦※󰂮※󰂫☯fwfe※〕
勣	〔※󰁽※󰃛※󰂫※󰁥☯gmet※〕
勤	〔※󰂊※󰃏※󰁽※󰂫☯akge※〕
勥	〔※󰄬※󰃏※󰃍※󰂫☯xkje※〕
勦	〔※󰄞※󰃋※󰄅※󰂫☯vjse※〕
勧	〔※󰁿※󰂶※󰄥※󰂫☯tgwe※〕
勨	〔※󰃸※󰃏※󰀓※󰂫☯qkee※〕
勩	〔※󰂊※󰄃※󰃛※󰂫☯anme※〕
勪	〔※󰄋※󰂝※󰃏※󰂫☯tdke※〕
勫	〔※󰄋※󰃪※󰃐※󰂫☯tole※〕
勬	〔※󰄒※󰂹※󰄩※󰂫☯ugxe※〕
勭	〔※󰄓※󰃋※󰂮※󰂫☯ujfe※〕
勮	〔※󰃀※󰂶※󰀓※󰂫☯hgee※〕
勯	〔※󰄶※󰃒※󰃏※󰂫☯ylke※〕
勰	〔※󰂫※󰂫※󰂫※󰃢☯eeen※〕
勱	〔※󰄖※󰃋※󰃜※󰂫☯ajme※〕
勲	〔※󰄋※󰂶※󰃋※󰃨☯tgjo※〕
勳	〔※󰄋※󰂶※󰀹※󰂫☯tgle※〕
勴	〔※󰃀※󰃐※󰃢※󰂫☯hlne※〕
勵	〔※󰂡※󰄖※󰃋※󰂫☯daje※〕
勶	〔※󰄎※󰄶※󰂙※󰂧☯tyce※〕
勷	〔※󰄶※󰃏※󰃏※󰂫☯ykke※〕
勸	〔※󰄖※󰃏※󰃏※󰂫☯akke※〕
勹	〔※󰃷※󰄋※󰂁※※☯qtn※〕
勺	〔※󰃷※󰄼※󰀦※※☯qyi※〕
勻	〔※󰃷※󰂭※󰀌※※☯qfd※〕
勼	〔※󰃷※󰄡※󰁫※※☯qvv※〕
勽	〔※󰃷※󰄤※󰀦※※☯qwi※〕
勾	〔※󰃷※󰂙※󰀦※※☯qci※〕
勿	〔※󰃷※󰁤※󰀏※※☯qre※〕
匀	〔※󰃷※󰄑※󰀌※※☯qud※〕
匁	〔※󰃷※󰄄※󰀦※※☯qri※〕
匂	〔※󰃷※󰄮※󰁫※※☯qxv※〕
匃	〔※󰃷※󰄤※󰄃※󰁫☯qwnv※〕
匄	〔※󰃷※󰄶※󰄃※󰁫☯qynv※〕
包	〔※󰃷※󰃠※󰁫※※☯qnv※〕
匆	〔※󰃷※󰁤※󰄼※󰀦☯qryi※〕
匇	〔※󰃷※󰃹※󰀦※※☯qqi※〕
匈	〔※󰃷※󰄄※󰂔※󰀵☯qrbk※〕
匉	〔※󰃷※󰂶※󰄒※󰂱☯qguf※〕
匊	〔※󰃷※󰃪※󰀦※※☯qoi※〕
匋	〔※󰃷※󰁿※󰂱※󰂔☯qtfb※〕
匌	〔※󰃷※󰄤※󰂶※󰃏☯qwgk※〕
匍	〔※󰃷※󰄊※󰀦※※☯qsi※〕
匎	〔※󰃷※󰂝※󰃋※󰄻☯qdjn※〕
匏	〔※󰂝※󰂭※󰁔※󰃠☯dfnn※〕
匐	〔※󰃷※󰂶※󰃏※󰃐☯qgkl※〕
匑	〔※󰃷※󰄋※󰀽※󰄬☯qtmx※〕
匒	〔※󰃷※󰄖※󰄤※󰃏☯qawk※〕
匓	〔※󰃷※󰁮※󰄨※󰂘☯qvwc※〕
匔	〔※󰃷※󰄋※󰀽※󰃏☯qtmk※〕
匕	〔※󰄮※󰄋※󰄻※※☯xtn※〕
化	〔※󰄥※󰁳※󰁀※※☯wxn※〕
北	〔※󰁩※󰄮※󰁀※※☯uxn※〕
匘	〔※󰄮※󰄞※󰄋※󰄄☯xvtr※〕
匙	〔※󰃋※󰂶※󰁾※󰄮☯jghx※〕
匚	〔※󰂋※󰂶※󰄃※※☯agn※〕
匛	〔※󰂋※󰁛※󰂃※󰀦☯aqyi※〕
匜	〔※󰂋※󰂓※󰁫※※☯abv※〕
匝	〔※󰂋※󰃜※󰂺※󰀵☯amhk※〕
匞	〔※󰂋※󰂆※󰀌※※☯aad※〕
匟	〔※󰂋※󰄶※󰄨※󰁫☯aywv※〕
匠	〔※󰂋※󰄀※󰀵※※☯ark※〕
匡	〔※󰂋※󰂷※󰀌※※☯agd※〕
匢	〔※󰂋※󰃷※󰁤※󰀏☯aqre※〕
匣	〔※󰂋※󰃑※󰀵※※☯alk※〕
匤	〔※󰂋※󰂷※󰄼※󰀦☯agyi※〕
匥	〔※󰂋※󰂙※󰂉※󰀵☯acak※〕
匦	〔※󰂋※󰃖※󰄡※󰁫☯alvv※〕
匧	〔※󰂋※󰂝※󰄤※󰄤☯adww※〕
匨	〔※󰂋※󰄗※󰂯※󰀌☯aufd※〕
匩	〔※󰂋※󰂔※󰂺※󰂷☯abhg※〕
匪	〔※󰂋※󰂺※󰂜※󰂜☯ahdd※〕
匫	〔※󰂋※󰃷※󰁤※󰃋☯aqrj※〕
匬	〔※󰂋※󰄤※󰂶※󰃉☯awgj※〕
匭	〔※󰂋※󰃗※󰄡※󰁫☯alvv※〕
匮	〔※󰂋※󰃏※󰂺※󰃚☯akhm※〕
匯	〔※󰂋※󰃁※󰄥※󰁷☯aiwy※〕
匰	〔※󰂋※󰃏※󰃏※󰂱☯akkf※〕
匱	〔※󰂋※󰃏※󰂺※󰃛☯akhm※〕
匲	〔※󰂋※󰂝※󰃏※󰃏☯adkk※〕
匳	〔※󰂋※󰄤※󰂶※󰄤☯awgw※〕
匴	〔※󰂋※󰄍※󰂼※󰂉☯atha※〕
匵	〔※󰂋※󰂯※󰃔※󰃛☯aflm※〕
匶	〔※󰂋※󰄖※󰄥※󰂪☯aawe※〕
匷	〔※󰂋※󰂼※󰂼※󰁷☯ahhy※〕
匸	〔※󰂋※󰂶※󰄃※※☯agn※〕
匹	〔※󰂋※󰃺※󰁫※※☯aqv※〕
区	〔※󰂋※󰄄※󰀦※※☯ari※〕
医	〔※󰂋※󰁿※󰂝※󰀦☯atdi※〕
匼	〔※󰂋※󰄤※󰂶※󰃏☯awgk※〕
匽	〔※󰂋※󰃋※󰄟※󰀌☯ajvd※〕
匾	〔※󰂋※󰄼※󰃡※󰄖☯ayna※〕
匿	〔※󰂋※󰄖※󰁼※󰃏☯aadk※〕
區	〔※󰂋※󰃏※󰃏※󰃏☯akkk※〕
十	〔※󰂱※󰂶※󰂺※※☯fgh※〕
卂	〔※󰄺※󰂱※󰀵※※☯nfk※〕
千	〔※󰄋※󰂱※󰀵※※☯tfk※〕
卄	〔※󰄖※󰂶※󰂺※󰂺☯aghh※〕
卅	〔※󰂶※󰃎※󰀵※※☯gkk※〕
卆	〔※󰄡※󰂱※󰀬※※☯vfj※〕
升	〔※󰄋※󰂉※󰀵※※☯tak※〕
午	〔※󰁿※󰂱※󰀬※※☯tfj※〕
卉	〔※󰂱※󰂉※󰀬※※☯faj※〕
半	〔※󰄒※󰀟※󰀵※※☯ugk※〕
卋	〔※󰂱※󰂊※󰀘※※☯faf※〕
卌	〔※󰂶※󰀷※󰀵※※☯glk※〕
卍	〔※󰁎※󰂺※󰂶※󰂺☯nhgh※〕
华	〔※󰄥※󰁳※󰂱※󰀬☯wxfj※〕
协	〔※󰂱※󰂫※󰄦※󰁶☯fewy※〕
卐	〔※󰁕※󰂶※󰂺※󰂶☯nghg※〕
卑	〔※󰃽※󰄋※󰂱※󰀬☯rtfj※〕
卒	〔※󰄶※󰄤※󰄤※󰂱☯ywwf※〕
卓	〔※󰀥※󰃌※󰀬※※☯hjj※〕
協	〔※󰂱※󰂫※󰂫※󰂫☯feee※〕
单	〔※󰄒※󰃋※󰂱※󰀬☯ujfj※〕
卖	〔※󰂱※󰃦※󰁦※󰂝☯fnud※〕
南	〔※󰂱※󰃜※󰄕※󰂱☯fmuf※〕
単	〔※󰀧※󰃋※󰂱※󰀬☯ijfj※〕
卙	〔※󰀎※󰄦※󰄃※󰂱☯dwnf※〕
博	〔※󰂱※󰄊※󰂳※󰁶☯fsfy※〕
卛	〔※󰄴※󰄫※󰄫※󰂱☯yxxf※〕
卜	〔※󰂿※󰂺※󰄼※※☯hhy※〕
卝	〔※󰂺※󰂶※󰀥※󰀝☯hghg※〕
卞	〔※󰄶※󰂿※󰁧※※☯yhu※〕
卟	〔※󰃏※󰂿※󰁶※※☯khy※〕
占	〔※󰀥※󰃏※󰀘※※☯hkf※〕
卡	〔※󰂽※󰂿※󰁧※※☯hhu※〕
卢	〔※󰀥※󰃡※󰁣※※☯hnr※〕
卣	〔※󰀥※󰃒※󰁃※󰀘☯hlnf※〕
卤	〔※󰀥※󰃒※󰄄※󰁧☯hlru※〕
卥	〔※󰀥※󰃒※󰁤※󰂃☯hlry※〕
卦	〔※󰂮※󰂮※󰂿※󰁶☯ffhy※〕
卧	〔※󰂋※󰂺※󰁃※󰂿☯ahnh※〕
卨	〔※󰀥※󰀿※󰁈※󰃏☯hmnk※〕
卩	〔※󰂕※󰂁※󰂺※※☯bnh※〕
卪	〔※󰂕※󰄼※󰀦※※☯byi※〕
卫	〔※󰁹※󰂶※󰀌※※☯bgd※〕
卬	〔※󰁚※󰂕※󰀢※※☯qbh※〕
卭	〔※󰂆※󰂕※󰀢※※☯abh※〕
卮	〔※󰃼※󰂶※󰂑※󰁫☯rgbv※〕
卯	〔※󰁚※󰄋※󰂕※󰀢☯qtbh※〕
印	〔※󰁚※󰂶※󰂕※󰀢☯qgbh※〕
危	〔※󰃸※󰂡※󰂑※󰀅☯qdbb※〕
卲	〔※󰄠※󰃏※󰂕※󰀢☯vkbh※〕
即	〔※󰁮※󰂕※󰀢※※☯vbh※〕
却	〔※󰂮※󰂙※󰂕※󰀢☯fcbh※〕
卵	〔※󰁚※󰄼※󰄋※󰄼☯qyty※〕
卶	〔※󰃹※󰃹※󰂕※󰀢☯qqbh※〕
卷	〔※󰄒※󰂹※󰂑※󰀅☯ugbb※〕
卸	〔※󰁿※󰂶※󰂾※󰂕☯tghb※〕
卹	〔※󰄋※󰃕※󰂕※󰀢☯tlbh※〕
卺	〔※󰂒※󰀩※󰂶※󰂑☯bigb※〕
卻	〔※󰄦※󰄤※󰃏※󰂕☯wwkb※〕
卼	〔※󰂶※󰃺※󰃸※󰂑☯gqqb※〕
卽	〔※󰃽※󰄮※󰂕※󰀢☯rxbh※〕
卾	〔※󰃏※󰃏※󰂭※󰂕☯kkfb※〕
卿	〔※󰁚※󰄋※󰁮※󰂕☯qtvb※〕
厀	〔※󰄅※󰄤※󰃃※󰂕☯swib※〕
厁	〔※󰄤※󰂶※󰄉※󰂕☯wgsb※〕
厂	〔※󰂡※󰂶※󰄋※※☯dgt※〕
厃	〔※󰃸※󰂡※󰁣※※☯qdr※〕
