⺁	〔※󰃼※󰄋※󰄋※☯rtt☯※〕
㪏	〔※󰃽※󰄋※󰂱※󰂘☯rtfc☯bǐ※〕
㪐	〔※󰄼※󰃡※󰂣※󰂘☯yndc☯lù※〕
㪑	〔※󰂝※󰃊※󰁐※󰂘☯djnc☯yè※〕
㪒	〔※󰂪※󰃺※󰀥※󰂘☯eqhc☯ní※〕
㪓	〔※󰄋※󰂱※󰁩※󰂘☯tfuc☯chuái※〕
㪔	〔※󰄅※󰄅※󰀥※󰂘☯sshc☯sàn※tán※〕
㪕	〔※󰀥※󰃌※󰀥※󰂘☯hjhc☯diào※〕
㪖	〔※󰁭※󰃃※󰀥※󰂘☯vihc☯lù※〕
㪗	〔※󰄓※󰃏※󰀥※󰂘☯ukhc☯tǒu※〕
㪘	〔※󰄤※󰂶※󰃏※󰄏☯wgkt☯liǎn※〕
㪙	〔※󰃊※󰄅※󰄏※󰁶☯jsty☯kě※kè※kuò※〕
㪚	〔※󰁺※󰃊※󰄏※󰁶☯ajty☯sàn※〕
㪛	〔※󰀎※󰄦※󰄃※󰂘☯dwnc☯zhěn※〕
㪜	〔※󰃘※󰂢※󰃜※󰂘☯mdmc☯chuǎi※〕
㪝	〔※󰄅※󰀹※󰀥※󰂘☯slhc☯liàn※〕
㪞	〔※󰀰※󰂼※󰀥※󰂘☯jhhc☯mào※〕
㪟	〔※󰁸※󰃊※󰄏※󰁶☯yjty☯※〕
㪠	〔※󰄕※󰁬※󰀭※󰂘☯uvjc☯qiàn※〕
㪡	〔※󰃰※󰂜※󰂺※󰂘☯pdhc☯kě※〕
㪢	〔※󰂪※󰂺※󰂘※󰂘☯ehcc☯shǎo※〕
㪣	〔※󰁸※󰃜※󰃏※󰄏☯ymkt☯qiào※〕
㪤	〔※󰃊※󰄖※󰀟※󰄏☯jagt☯bì※〕
㪥	〔※󰃀※󰀐※󰀞※󰂘☯hegc☯zhā※〕
㪦	〔※󰃰※󰂶※󰃙※󰄏☯pgmt☯yìn※〕
㪧	〔※󰄤※󰂶※󰃏※󰂘☯wgkc☯※〕
㪨	〔※󰄜※󰄕※󰃏※󰂘☯uukc☯shàn※〕
㪩	〔※󰁬※󰂱※󰀲※󰂘☯vfjc☯sù※〕
㪪	〔※󰂶※󰂝※󰂺※󰂘☯gdhc☯sà※xǐ※〕
㪫	〔※󰀥※󰃱※󰂶※󰂘☯hpgc☯ruì※〕
㪬	〔※󰃥※󰄥※󰁷※󰂘☯nwyc☯zhuó※〕
㪭	〔※󰃀※󰃐※󰃕※󰂘☯hllc☯lú※〕
㪮	〔※󰀙※󰃏※󰃏※󰂘☯fkkc☯líng※〕
㪯	〔※󰄷※󰀟※󰀬※☯ygj☯chá※jǔ※qú※〕
㪰	〔※󰄷※󰃪※󰁧※☯you☯※〕
㪱	〔※󰄷※󰃸※󰀿※󰂝☯yqmd☯huàn※〕
㪲	〔※󰁦※󰂱※󰃦※󰀅☯ufnb☯※〕
㪳	〔※󰁦※󰂱※󰃏※󰀘☯ufkf☯※〕
㪴	〔※󰂭※󰃺※󰁦※󰂱☯fquf☯jiá※〕
㪵	〔※󰄒※󰀠※󰁦※󰂱☯uguf☯bàn※〕
㪶	〔※󰂢※󰃊※󰁦※󰂱☯djuf☯hú※〕
㪷	〔※󰂶※󰃏※󰄕※󰂱☯gkuf☯dǒu※〕
㪸	〔※󰀎※󰄦※󰁦※󰂱☯dwuf☯※〕
㪹	〔※󰀻※󰄟※󰁦※󰂱☯lvuf☯lǒu※〕
㪺	〔※󰂝※󰂼※󰂼※󰂱☯dhhf☯jū※〕
㪻	〔※󰄳※󰄫※󰄫※󰂱☯yxxf☯juàn※〕
㪼	〔※󰄆※󰃏※󰄀※󰀢☯skrh☯kě※〕
㪽	〔※󰂶※󰃊※󰄀※󰀬☯gjrj☯suǒ※suò※〕
㪾	〔※󰄐※󰃏※󰄀※󰀢☯tkrh☯gé※luò※〕
㪿	〔※󰂔※󰄋※󰂔※󰄀☯btbr☯zhé※shé※〕
㫀	〔※󰃊※󰃊※󰄀※󰀢☯jjrh☯dǐng※〕
㫁	〔※󰄩※󰄩※󰂶※󰄀☯xxgr☯duàn※〕
㫂	〔※󰃫※󰂊※󰃨※󰄀☯oaor☯zhù※〕
㫃	〔※󰄸※󰄤※󰁶※☯ywy☯yǎn※〕
㫄	〔※󰂭※󰃷※󰄸※󰁣☯fqyr☯páng※〕
㫅	〔※󰄸※󰄤※󰂭※󰀯☯ywfj☯chá※qí※shí※〕
㫆	〔※󰄸※󰄤※󰃅※󰁶☯ywiy☯※〕
㫇	〔※󰄸※󰄤※󰁦※󰃦☯ywun☯※〕
㫈	〔※󰄸※󰄤※󰁦※󰃏☯ywuk☯※〕
㫉	〔※󰄸※󰃸※󰂡※󰂑☯yqdb☯※〕
㫊	〔※󰄸※󰁿※󰄆※󰃏☯ytsk☯yǐ※〕
㫋	〔※󰄸※󰁿※󰃜※󰂮☯ytmf☯※〕
㫌	〔※󰄸※󰁿※󰂶※󰂾☯ytgh☯※〕
㫍	〔※󰄸※󰁿※󰄥※󰄏☯ytwt☯yóu※〕
㫎	〔※󰄸※󰁿※󰃱※󰃗☯ytpl☯gǔn※kuài※〕
㫏	〔※󰄸※󰁿※󰄈※󰄟☯ytsv☯yǎo※〕
㫐	〔※󰃊※󰄮※󰀅※☯jxb☯yǎo※〕
㫑	〔※󰃊※󰂫※󰁥※☯jet☯shí※zhǐ※〕
㫒	〔※󰃊※󰂉※󰀬※☯jaj☯gǒng※〕
㫓	〔※󰃊※󰁿※󰃝※󰁀☯jtnn☯qǐ※qì※〕
㫔	〔※󰃊※󰂽※󰀘※☯jhf☯gèn※〕
㫕	〔※󰃊※󰂶※󰃺※󰀅☯jgqb☯※〕
㫖	〔※󰂽※󰃊※󰀘※☯hjf☯zhǐ※〕
㫗	〔※󰃊※󰂍※󰀘※☯jbf☯hòu※〕
㫘	〔※󰂢※󰂿※󰃊※󰀘☯dhjf☯mì※miǎn※〕
㫙	〔※󰃊※󰂹※󰁶※☯jgy☯fú※〕
㫚	〔※󰃷※󰁤※󰃊※󰀘☯qrjf☯hū※〕
㫛	〔※󰃊※󰃏※󰃺※󰁀☯jkqn☯guàng※kuáng※kuàng※mǔ※〕
㫜	〔※󰃊※󰃊※󰂶※󰀝☯jjgg☯dàn※tǎn※〕
㫝	〔※󰃊※󰁚※󰀁※󰄼☯jqay☯※〕
㫞	〔※󰃊※󰂔※󰂺※󰂘☯jbhc☯※〕
㫟	〔※󰃊※󰄨※󰃏※󰀝☯jwkg☯yán※〕
㫠	〔※󰃊※󰄒※󰀟※󰀢☯jugh☯※〕
㫡	〔※󰃊※󰄐※󰁦※󰁧☯jtuu☯※〕
㫢	〔※󰃊※󰂮※󰂙※󰁶☯jfcy☯qù※〕
㫣	〔※󰃊※󰃊※󰄻※󰀅☯jjnb☯※〕
㫤	〔※󰃊※󰄼※󰂁※󰀩☯jyni☯chǎng※zhào※〕
㫥	〔※󰃊※󰃹※󰃏※󰀝☯jqkg☯mǐng※〕
㫦	〔※󰄥※󰂺※󰄐※󰃊☯whtj☯※〕
㫧	〔※󰃊※󰃪※󰁧※☯jou☯bào※〕
㫨	〔※󰃊※󰃰※󰄟※󰀝☯jpvg☯※〕
㫩	〔※󰂱※󰄖※󰃊※󰀘☯fajf☯※〕
㫪	〔※󰂜※󰄤※󰂺※󰃊☯dwhj☯※〕
㫫	〔※󰃊※󰂶※󰃬※󰀘☯jgof☯xiǎn※〕
㫬	〔※󰃊※󰃷※󰃊※󰀝☯jqjg☯※〕
㫭	〔※󰃊※󰂮※󰂳※󰁧☯jffu☯shí※〕
㫮	〔※󰂾※󰄮※󰃊※󰀘☯hxjf☯※〕
㫯	〔※󰃊※󰃊※󰂶※󰃺☯jjgq☯mào※〕
㫰	〔※󰃊※󰄼※󰄣※󰁶☯jyvy☯lǎng※〕
㫱	〔※󰃊※󰂮※󰁖※󰁧☯jfou☯nǎn※〕
㫲	〔※󰃊※󰂱※󰃱※󰂍☯jfpb☯pèi※〕
㫳	〔※󰂡※󰂭※󰀖※󰃊☯dfej☯chén※〕
㫴	〔※󰃊※󰂮※󰄋※󰂍☯jftb☯※〕
㫵	〔※󰃊※󰂺※󰂜※󰂜☯jhdd☯※〕
㫶	〔※󰃊※󰄢※󰃱※󰂺☯jvph☯cǒu※zhǒu※〕
㫷	〔※󰀎※󰄦※󰃊※󰀘☯dwjf☯※〕
㫸	〔※󰃊※󰂶※󰁬※󰁾☯jgvh☯qiè※〕
㫹	〔※󰃊※󰃼※󰁃※󰄀☯jrnr☯dài※shù※yú※〕
㫺	〔※󰄤※󰄤※󰄤※󰃊☯wwwj☯※〕
㫻	〔※󰃊※󰄤※󰂶※󰄖☯jwga☯kùn※〕
㫼	〔※󰃊※󰁿※󰂶※󰃉☯jtgj☯dié※zhé※zhì※〕
㫽	〔※󰃊※󰁭※󰃃※󰁶☯jviy☯lù※〕
㫾	〔※󰃊※󰃆※󰃜※󰃏☯jimk☯※〕
㫿	〔※󰃊※󰄥※󰁷※󰀝☯jwyg☯※〕
㬀	〔※󰃊※󰁸※󰂍※󰀝☯jybg☯※〕
㬁	〔※󰃊※󰃁※󰄤※󰃏☯jiwk☯※〕
㬂	〔※󰃊※󰃊※󰃜※󰄼☯jjmy☯yú※〕
㬃	〔※󰃊※󰂙※󰃏※󰃩☯jcko☯tái※〕
㬄	〔※󰃊※󰂡※󰂮※󰁖☯jdfo☯chàn※〕
㬅	〔※󰃊※󰃔※󰄸※󰁣☯jlyr☯màn※〕
㬆	〔※󰃊※󰁂※󰀁※󰃊☯jnaj☯mián※miàn※mǐn※〕
㬇	〔※󰃊※󰃸※󰀿※󰂝☯jqmd☯huàn※〕
㬈	〔※󰃊※󰃊※󰃕※󰀝☯jjlg☯※〕
㬉	〔※󰃊※󰂢※󰃜※󰂝☯jdmd☯nuǎn※ruò※〕
㬊	〔※󰃊※󰂦※󰂶※󰂘☯jegc☯huǎn※〕
㬋	〔※󰃊※󰄥※󰁄※󰂝☯jwnd☯hóu※〕
㬌	〔※󰃊※󰄶※󰃊※󰃅☯jyji☯jìng※〕
㬍	〔※󰃊※󰄊※󰂳※󰁶☯jsfy☯bó※〕
㬎	〔※󰃊※󰄩※󰄩※󰃨☯jxxo☯xiǎn※〕
㬏	〔※󰃊※󰂶※󰃏※󰂺☯jgkh☯lì※〕
㬐	〔※󰃊※󰂶※󰃬※󰃊☯jgoj☯jǐn※jìn※xíng※yǐng※〕
㬑	〔※󰃊※󰁸※󰂎※󰂏☯jybb☯※〕
㬒	〔※󰃊※󰄖※󰂣※󰂉☯jada☯mǎng※mào※〕
㬓	〔※󰃊※󰄈※󰂭※󰃅☯jsfi☯piào※〕
㬔	〔※󰃊※󰃥※󰄤※󰂥☯jnwe☯háo※〕
㬕	〔※󰃊※󰃲※󰁶※󰄜☯jpyu☯yáng※〕
㬖	〔※󰃊※󰄼※󰃡※󰃏☯jynk☯※〕
㬗	〔※󰃊※󰁝※󰂣※󰃨☯jqdo☯xiàn※〕
㬘	〔※󰃊※󰁬※󰂱※󰀲☯jvfj☯sù※〕
㬙	〔※󰃊※󰂦※󰄋※󰃨☯jeto☯wěi※〕
㬚	〔※󰃊※󰄶※󰂙※󰄏☯jyct☯chè※〕
㬛	〔※󰃊※󰄤※󰂶※󰃥☯jwgn☯※〕
㬜	〔※󰂶※󰂙※󰂮※󰃊☯gcfj☯jìn※〕
㬝	〔※󰃊※󰄒※󰀺※󰃊☯julj☯céng※〕
㬞	〔※󰃊※󰃘※󰃊※󰄃☯jmjn☯hè※〕
㬟	〔※󰃷※󰁤※󰄒※󰃊☯qruj☯※〕
㬠	〔※󰃊※󰃸※󰄢※󰃨☯jqvo☯shài※〕
㬡	〔※󰃊※󰀙※󰄤※󰁻☯jfwc☯líng※〕
㬢	〔※󰃊※󰄒※󰂷※󰄼☯jugy☯※〕
㬣	〔※󰃊※󰃬※󰄒※󰂳☯jouf☯duì※〕
㬤	〔※󰃊※󰃊※󰄩※󰃨☯jjxo☯※〕
㬥	〔※󰃊※󰂔※󰃘※󰃪☯jbmo☯pù※〕
㬦	〔※󰃊※󰄖※󰄥※󰂘☯jawc☯yuè※〕
㬧	〔※󰃊※󰂔※󰃘※󰃅☯jbmi☯bó※〕
㬨	〔※󰃊※󰂮※󰁖※󰁖☯jfoo☯※〕
㬩	〔※󰃊※󰂜※󰂺※󰃢☯jdhn☯huì※〕
㬪	〔※󰃊※󰃊※󰃊※󰄰☯jjjx☯dié※zhì※〕
㬫	〔※󰂊※󰃏※󰁩※󰃊☯akuj☯yàn※〕
㬬	〔※󰃊※󰂼※󰂼※󰁷☯jhhy☯jù※〕
㬭	〔※󰃊※󰂦※󰃔※󰂳☯jelf☯jiào※shǎn※yǎo※〕
㬮	〔※󰃊※󰂊※󰃏※󰁷☯jaky☯kuài※nàn※〕
㬯	〔※󰃊※󰄹※󰂧※󰄼☯jyey☯liè※〕
㬰	〔※󰃊※󰄤※󰀦※☯jwi☯yú※〕
㬱	〔※󰄋※󰂮※󰃺※󰃊☯tfqj☯tì※〕
㬲	〔※󰂶※󰃊※󰄄※󰃕☯gjrl☯※〕
㬳	〔※󰂧※󰁿※󰂱※󰀢☯etfh☯wǔ※〕
㬴	〔※󰂧※󰁺※󰄦※󰁶☯eawy☯hǒng※〕
㬵	〔※󰂧※󰄘※󰄄※󰁶☯eury☯xiáo※jiāo※〕
㬶	〔※󰂧※󰄋※󰂮※󰃏☯etfk☯hào※〕
㬷	〔※󰂧※󰃒※󰄅※󰁶☯elsy☯※〕
㬸	〔※󰂧※󰄖※󰄥※󰁳☯eawx☯※〕
㬹	〔※󰂧※󰃸※󰁬※󰂻☯eqvh☯※〕
㬺	〔※󰂧※󰄒※󰂹※󰂺☯eugh☯※〕
㬻	〔※󰂧※󰄖※󰄶※󰀸☯eayk☯huǎng※〕
㬼	〔※󰁼※󰂧※󰁿※󰄐☯dett☯fù※〕
㬽	〔※󰂧※󰃏※󰃏※󰁔☯ekkn☯※〕
㬾	〔※󰂋※󰁿※󰂝※󰂧☯atde☯※〕
㬿	〔※󰂧※󰁸※󰂎※󰄏☯eybt☯dùn※〕
㭀	〔※󰂧※󰄍※󰂆※󰄤☯etaw☯※〕
㭁	〔※󰄅※󰂖※󰁥※☯sbt☯réng※〕
㭂	〔※󰄅※󰃅※󰁶※☯siy☯jiǎo※〕
㭃	〔※󰄅※󰄩※󰁶※☯sxy☯※〕
㭄	〔※󰄅※󰄺※󰂱※󰀢☯snfh☯xìn※〕
㭅	〔※󰄅※󰂜※󰀝※☯sdg☯※〕
㭆	〔※󰂖※󰂶※󰄅※󰁧☯bgsu☯※〕
㭇	〔※󰄅※󰂙※󰃺※󰁀☯scqn☯yuàn※〕
㭈	〔※󰄅※󰁄※󰄤※󰁶☯snwy☯jué※kuài※〕
㭉	〔※󰄖※󰄅※󰁧※☯asu☯huá※〕
㭊	〔※󰄅※󰄋※󰂺※󰁈☯sthn☯※〕
㭋	〔※󰄅※󰂜※󰂺※󰀢☯sdhh☯bàng※〕
㭌	〔※󰄅※󰄋※󰀟※󰀢☯stgh☯móu※yú※〕
㭍	〔※󰄑※󰂌※󰄅※󰁧☯uasu☯※〕
㭎	〔※󰄅※󰃜※󰄄※󰁶☯smry☯gāng※〕
㭏	〔※󰄅※󰂭※󰂁※󰂺☯sfnh☯wěi※〕
㭐	〔※󰂝※󰂶※󰄅※󰁧☯dgsu☯※〕
㭑	〔※󰄅※󰂵※󰁶※☯sfy☯mèi※〕
㭒	〔※󰄅※󰃧※󰀝※☯sng☯sì※〕
㭓	〔※󰄅※󰂙※󰂉※󰀢☯scah☯biàn※〕
㭔	〔※󰄅※󰄋※󰄒※󰀛☯stuf☯lú※〕
㭕	〔※󰄅※󰂮※󰂙※󰁶☯sfcy☯qū※〕
㭖	〔※󰄅※󰄥※󰀁※󰄼☯sway☯※〕
㭗	〔※󰄅※󰃕※󰀘※☯slf☯※〕
㭘	〔※󰄅※󰄤※󰂶※󰃏☯swgk☯hé※gé※〕
㭙	〔※󰄅※󰂮※󰂳※󰁶☯sffy☯shé※zhé※〕
㭚	〔※󰄅※󰁿※󰀕※󰁶☯stey☯※〕
㭛	〔※󰄅※󰃼※󰀕※󰁶☯srey☯pài※〕
㭜	〔※󰄅※󰂇※󰁼※󰁥☯sadt☯róng※〕
㭝	〔※󰄅※󰄅※󰄡※󰀅☯ssvb☯qiú※〕
㭞	〔※󰄅※󰃅※󰄋※󰂫☯site☯liè※〕
㭟	〔※󰁺※󰄦※󰄅※󰁧☯awsu☯gǒng※〕
㭠	〔※󰄅※󰄋※󰂮※󰃺☯stfq☯xiǎn※〕
㭡	〔※󰄅※󰄋※󰃒※󰄄☯stlr☯xì※xìn※〕
㭢	〔※󰄅※󰂶※󰂉※󰃉☯sgaj☯※〕
㭣	〔※󰄅※󰄙※󰃏※󰀝☯sukg☯※〕
㭤	〔※󰄅※󰁠※󰂶※󰀝☯sqgg☯niǎo※〕
㭥	〔※󰄅※󰃸※󰃚※󰁶☯sqmy☯※〕
㭦	〔※󰄅※󰃰※󰄋※󰂌☯spta☯※〕
㭧	〔※󰄋※󰁪※󰄅※󰁧☯tusu☯※〕
㭨	〔※󰄅※󰀄※󰂻※󰂏☯sahb☯yé※〕
㭩	〔※󰄅※󰂦※󰂳※󰁶☯sefy☯lèi※líng※liè※〕
㭪	〔※󰄅※󰄊※󰁶※☯ssy☯※〕
㭫	〔※󰄅※󰄤※󰄤※󰂮☯swwf☯cuán※cuó※zhèn※〕
㭬	〔※󰄅※󰂶※󰀓※󰁶☯sgey☯zhuó※〕
㭭	〔※󰄅※󰃏※󰂫※󰃉☯skej☯fèi※〕
㭮	〔※󰄅※󰄞※󰂶※󰃹☯svgq☯zuò※〕
㭯	〔※󰄅※󰂐※󰄻※󰁀☯sbnn☯dié※nà※zhé※〕
㭰	〔※󰂾※󰄮※󰄅※󰃜☯hxsm☯jì※jué※zuǐ※〕
㭱	〔※󰄅※󰂋※󰃑※󰀢☯salh☯hé※xiá※〕
㭲	〔※󰄅※󰄦※󰄤※󰃏☯swwk☯jí※〕
㭳	〔※󰄅※󰂮※󰄋※󰂍☯sftb☯※〕
㭴	〔※󰄅※󰀭※󰂘※󰂮☯sjcf☯※〕
㭵	〔※󰄅※󰃷※󰃐※󰀝☯sqlg☯※〕
㭶	〔※󰄅※󰄖※󰄸※󰁥☯sayt☯※〕
㭷	〔※󰄅※󰃐※󰂫※󰁥☯slet☯※〕
㭸	〔※󰄅※󰃸※󰃏※󰄼☯sqky☯tú※〕
㭹	〔※󰄅※󰄬※󰄶※󰄩☯sxyx☯xián※〕
㭺	〔※󰄅※󰂝※󰃊※󰄻☯sdjn☯yǎn※〕
㭻	〔※󰄅※󰃆※󰃜※󰃏☯simk☯táng※〕
㭼	〔※󰄅※󰃂※󰃊※󰀝☯sijg☯tà※〕
㭽	〔※󰄅※󰃫※󰁚※󰄼☯soqy☯dǐ※〕
㭾	〔※󰄅※󰃡※󰂔※󰃘☯snbm☯jué※yuè※〕
㭿	〔※󰄅※󰃊※󰁚※󰂕☯sjqb☯áng※〕
㮀	〔※󰄅※󰂒※󰀪※󰂔☯sbib☯hán※〕
㮁	〔※󰄅※󰄄※󰁼※󰂧☯srde☯yáo※〕
㮂	〔※󰂼※󰂝※󰄅※󰁧☯hdsu☯jú※〕
㮃	〔※󰄅※󰄌※󰄟※󰀝☯stvg☯ruí※〕
㮄	〔※󰄅※󰂭※󰃷※󰄸☯sfqy☯bǎng※bì※péng※〕
㮅	〔※󰄅※󰄥※󰁷※󰀘☯swyf☯※〕
㮆	〔※󰄅※󰄤※󰄜※󰀢☯swuh☯niè※〕
㮇	〔※󰄅※󰂶※󰂝※󰃤☯sgdn☯tiàn※〕
㮈	〔※󰄅※󰂝※󰂭※󰃅☯sdfi☯nài※〕
㮉	〔※󰄅※󰄥※󰂶※󰂝☯swgd☯※〕
㮊	〔※󰄅※󰁻※󰃦※󰄅☯scns☯※〕
㮋	〔※󰄅※󰁼※󰂧※󰂏☯sdeb☯yǒu※yù※〕
㮌	〔※󰄅※󰂢※󰃒※󰂭☯sdlf☯mián※mǐn※〕
㮍	〔※󰄕※󰂧※󰃉※󰄅☯uejs☯※〕
㮎	〔※󰄅※󰂢※󰂿※󰃕☯sdhl☯※〕
㮏	〔※󰄅※󰄅※󰂭※󰃅☯ssfi☯nài※〕
㮐	〔※󰄅※󰃅※󰄋※󰂼☯sith☯xǐng※shěng※〕
㮑	〔※󰄅※󰄋※󰂱※󰂪☯stfe☯qì※〕
㮒	〔※󰄅※󰄈※󰂮※󰀝☯ssfg☯※〕
㮓	〔※󰄅※󰃣※󰂶※󰂶☯sngg☯gèn※〕
㮔	〔※󰄅※󰄋※󰂶※󰂮☯stgf☯tóng※〕
㮕	〔※󰄅※󰂢※󰃜※󰂝☯sdmd☯ér※ruǎn※〕
㮖	〔※󰄅※󰂊※󰀜※󰀢☯safh☯jiá※jiá※〕
㮗	〔※󰁻※󰃦※󰂻※󰄅☯cnhs☯qín※〕
㮘	〔※󰄅※󰁻※󰃦※󰄏☯scnt☯mào※〕
㮙	〔※󰄅※󰃏※󰃏※󰁔☯skkn☯è※〕
㮚	〔※󰀥※󰃒※󰄤※󰄅☯hlws☯lì※〕
㮛	〔※󰄅※󰃊※󰂶※󰁾☯sjgh☯chí※〕
㮜	〔※󰄅※󰂋※󰄗※󰂯☯sauf☯※〕
㮝	〔※󰄅※󰄦※󰄤※󰂕☯swwb☯hé※luò※〕
㮞	〔※󰄅※󰄑※󰄾※󰃏☯suqk☯jié※ní※yá※〕
㮟	〔※󰄅※󰂠※󰄅※󰁶☯sdsy☯jí※niǎn※pèng※ròu※kā※〕
㮠	〔※󰄅※󰄖※󰃱※󰄅☯saps☯※〕
㮡	〔※󰃩※󰂋※󰁃※󰄅☯oans☯guàn※〕
㮢	〔※󰄅※󰄥※󰁄※󰂝☯swnd☯hóu※〕
㮣	〔※󰁮※󰀄※󰁜※󰄅☯vaqs☯gài※zé※〕
㮤	〔※󰃰※󰄦※󰄤※󰄅☯pwws☯※〕
㮥	〔※󰄅※󰂙※󰂝※󰃐☯scdl☯fèn※〕
㮦	〔※󰄅※󰂱※󰃱※󰃅☯sfpi☯sè※suǒ※〕
㮧	〔※󰄅※󰁞※󰃨※󰁶☯sqoy☯※〕
㮨	〔※󰄅※󰃐※󰄦※󰄐☯slwt☯jí※jì※〕
㮩	〔※󰄅※󰄋※󰂼※󰃢☯sthn☯xī※〕
㮪	〔※󰄅※󰂆※󰄨※󰄅☯saws☯qióng※〕
㮫	〔※󰄅※󰃰※󰂜※󰃏☯spdk☯hé※〕
㮬	〔※󰄅※󰄦※󰂙※󰃥☯swcn☯※〕
㮭	〔※󰄅※󰁻※󰃒※󰂱☯sclf☯xián※〕
㮮	〔※󰄅※󰂜※󰂺※󰃾☯sdhr☯jié※〕
㮯	〔※󰄅※󰃒※󰂶※󰀓☯slge☯huá※hún※kuǎn※〕
㮰	〔※󰄅※󰄋※󰃒※󰄮☯stlx☯bí※pí※〕
㮱	〔※󰄅※󰄖※󰄋※󰃺☯satq☯※〕
㮲	〔※󰄅※󰃷※󰂔※󰄋☯sqbt☯※〕
㮳	〔※󰄅※󰂧※󰄕※󰂝☯seud☯zhèn※〕
㮴	〔※󰄅※󰂪※󰂺※󰂘☯sehc☯※〕
㮵	〔※󰄅※󰄸※󰁿※󰄶☯syty☯※〕
㮶	〔※󰄅※󰄕※󰂔※󰂧☯sube☯shì※shuò※〕
㮷	〔※󰄅※󰁼※󰄻※󰃊☯sdnj☯※〕
㮸	〔※󰄅※󰄕※󰂝※󰃮☯sudp☯sòng※〕
㮹	〔※󰄅※󰂶※󰂙※󰄏☯sgct☯zhǐ※〕
㮺	〔※󰄅※󰂶※󰃏※󰃏☯sgkk☯běn※〕
㮻	〔※󰄅※󰂘※󰄼※󰃍☯scyj☯※〕
㮼	〔※󰄅※󰄼※󰃡※󰃥☯synn☯※〕
㮽	〔※󰄅※󰄋※󰁪※󰂘☯stuc☯※〕
㮾	〔※󰄼※󰁮※󰂧※󰄅☯yves☯lǎng※〕
㮿	〔※󰄅※󰃊※󰄖※󰀟☯sjag☯bì※〕
㯀	〔※󰄅※󰄸※󰁿※󰁾☯syth☯xiǎn※xuàn※〕
㯁	〔※󰄅※󰂏※󰄓※󰃏☯sbuk☯bàng※〕
㯂	〔※󰄅※󰂊※󰃺※󰂺☯saqh☯dài※〕
㯃	〔※󰄅※󰄅※󰄤※󰃃☯sswi☯※〕
㯄	〔※󰄅※󰄅※󰃼※󰂚☯ssrc☯※〕
㯅	〔※󰄅※󰃫※󰃽※󰂱☯sorf☯pí※〕
㯆	〔※󰄅※󰄓※󰄋※󰁽☯sutg☯chǎn※〕
㯇	〔※󰄅※󰂺※󰂜※󰂮☯shdf☯bì※〕
㯈	〔※󰄅※󰄅※󰃏※󰃮☯sskp☯sù※〕
㯉	〔※󰄅※󰃀※󰄋※󰀛☯shtf☯huò※chū※〕
㯊	〔※󰄅※󰂶※󰂾※󰃨☯sgho☯hén※〕
㯋	〔※󰄮※󰄅※󰂢※󰃛☯xsdm☯yǐng※〕
㯌	〔※󰄅※󰂶※󰀓※󰃮☯sgep☯chuán※〕
㯍	〔※󰄅※󰄗※󰁝※󰂳☯suqf☯jiǎng※〕
㯎	〔※󰄅※󰄳※󰄅※󰁶☯sysy☯nèn※〕
㯏	〔※󰂯※󰁅※󰄨※󰄅☯fnws☯gǔ※〕
㯐	〔※󰂏※󰁼※󰂆※󰄅☯bdas☯fǎng※tuǒ※〕
㯑	〔※󰄅※󰄬※󰀍※󰀖☯sxde☯※〕
㯒	〔※󰄅※󰂦※󰂼※󰃺☯sehq☯※〕
㯓	〔※󰄅※󰄤※󰂶※󰃥☯swgn☯tà※〕
㯔	〔※󰂬※󰂬※󰂬※󰄅☯eees☯cuì※〕
㯕	〔※󰄅※󰀎※󰄦※󰄀☯sdwr☯xī※〕
㯖	〔※󰄅※󰂱※󰃔※󰃢☯sfln☯dé※〕
㯗	〔※󰄅※󰄚※󰄅※󰁶☯susy☯rǎn※shùn※xián※xiàn※〕
㯘	〔※󰄅※󰂯※󰂭※󰄤☯sffw☯kuǎn※〕
㯙	〔※󰄅※󰄶※󰂙※󰄏☯syct☯chè※〕
㯚	〔※󰄅※󰄍※󰄤※󰃏☯stwk☯dá※〕
㯛	〔※󰄅※󰂯※󰃱※󰂶☯sfpg☯hú※huò※〕
㯜	〔※󰄅※󰄖※󰄶※󰂱☯sayf☯cuì※〕
㯝	〔※󰄅※󰃏※󰂾※󰃏☯skhk☯lù※〕
㯞	〔※󰄅※󰄫※󰃏※󰂧☯sxke☯juàn※yuè※〕
㯟	〔※󰄅※󰄅※󰁭※󰃃☯ssvi☯lù※〕
㯠	〔※󰄅※󰄶※󰄩※󰀟☯syxg☯qiàn※xiàn※xún※〕
㯡	〔※󰄅※󰄤※󰃃※󰃠☯swin☯pào※〕
㯢	〔※󰄅※󰃠※󰃠※󰄦☯snnw☯zhèn※〕
㯣	〔※󰄅※󰄖※󰄦※󰄅☯saws☯※〕
㯤	〔※󰄅※󰄤※󰄤※󰄤☯swww☯lì※〕
㯥	〔※󰄅※󰃊※󰄅※󰃊☯sjsj☯cáo※zāo※〕
㯦	〔※󰄅※󰀎※󰄦※󰄅☯sdws☯qí※〕
㯧	〔※󰄅※󰂮※󰁾※󰃏☯sfhk☯※〕
㯨	〔※󰄅※󰄈※󰃪※󰁶☯ssoy☯※〕
㯩	〔※󰂘※󰂘※󰂘※󰄤☯cccw☯tì※〕
㯪	〔※󰄅※󰀙※󰄤※󰁻☯sfwc☯líng※〕
